51	44
46	114
5	137
33	127
29	106
93	69
9	119
46	19
End
7	74
11	132
100	16
100	89
23	118
43	21
63	121
61	113
91	60
94	134
91	102
5	126
35	72
5	2
23	145
94	45
11	91
30	67
100	116
96	110
20	12
67	140
88	56
98	69
67	134
50	33
83	33
52	75
99	122
71	132
9	150
95	129
67	121
46	0
83	45
35	44
32	8
67	140
13	82
30	2
39	103
48	31
26	35
100	8
28	1
91	63
19	21
54	6
96	91
90	20
1	94
11	132
89	19
70	93
62	38
6	107
1	72
46	55
60	38
45	68
72	55
71	71
82	122
33	127
13	84
7	81
73	22
4	116
15	13
46	19
16	5
53	115
51	44
81	18
29	106
3	95
46	114
5	137
93	69
9	119
